customer_id,name,email,phone,flight_id,notif_type,notification_sent_at
56,Jeremy Young,cory58@example.net,(706)543-1713x900,DE1027,email,2025-07-09 22:46:00
57,Rachel Harris DVM,brendali@example.org,729-504-2284x21020,DE6279,sms,2025-08-13 09:45:00
58,Alexis Baker,judyfox@example.net,577-258-9178,DE5022,sms,2025-08-04 08:09:00
59,Susan Hopkins,stephen00@example.com,(761)877-1159x2124,DE3085,sms,2025-07-18 15:56:00
60,Kerry Chavez DDS,mcguiredanny@example.net,+1-883-767-3657x6615,DE6139,email,2025-08-01 05:49:00
61,Jacqueline Hernandez,fjones@example.org,(215)628-0988x51656,DE7537,email,2025-07-01 18:40:00
62,Heather Lane,ericolson@example.org,(285)614-9368x998,DE7930,sms,2025-07-27 23:58:00
63,Donald Farmer,michael22@example.net,+1-661-720-1836x67525,DE2389,sms,2025-06-25 05:58:00
64,Latoya Miller,moorekaren@example.org,+1-814-376-7976x43815,DE9883,sms,2025-08-11 12:56:00
65,Michael Tucker,brandon69@example.org,2349324451,DE9317,sms,2025-08-11 00:35:00
66,Casey James,vincentwhitaker@example.com,860-860-7159,DE9666,sms,2025-07-31 14:57:00
67,Jennifer Wilson,burchgeorge@example.net,651.761.3696x816,DE6139,sms,2025-07-13 07:35:00
68,Richard Jones,schmidtjames@example.com,(923)912-4329x212,DE9817,email,2025-08-01 04:23:00
69,Olivia Cole,michelle52@example.com,377-644-9058,DE1887,sms,2025-06-29 05:42:00
70,Andrew Wood,chase19@example.net,267.998.0793x59782,DE3144,sms,2025-08-01 00:19:00
71,Steven Cooper,wagnergerald@example.org,001-777-288-9255x466,DE1590,email,2025-08-12 02:11:00
72,Maria Jones,grantpaul@example.com,001-692-851-9254x6291,DE2674,email,2025-08-12 18:25:00
73,Erin Anderson,lucasrodney@example.com,4544235733,DE1096,sms,2025-07-04 17:51:00
74,Ryan Garcia,stanleynancy@example.net,(296)822-2927,DE6753,email,2025-08-08 08:43:00
75,Nathan Montes,karen73@example.net,847.835.9774,DE1488,email,2025-08-03 19:19:00
76,Ruth Solis,moniquewilliams@example.com,(881)381-4124x782,DE5198,email,2025-07-02 06:21:00
77,Courtney Hayes,sarah60@example.com,653.961.5305x15220,DE6143,sms,2025-07-27 20:54:00
78,Brenda Thornton,fgilbert@example.org,232-589-8614x341,DE7211,sms,2025-07-02 19:08:00
79,Riley Bryant,copelandvincent@example.net,7895324609,DE9808,sms,2025-07-25 17:52:00
80,Chelsea Barnett,carlos88@example.net,380.767.0654x05153,DE6355,sms,2025-06-28 11:39:00
81,Harold Morgan,mariacohen@example.net,822.917.0430x3054,DE8564,email,2025-07-17 19:03:00
82,Paul Lee,michelle05@example.com,956-767-6527,DE7906,sms,2025-07-17 02:04:00
83,Kelly Owen,mmiller@example.org,+1-845-411-5447,DE6016,email,2025-08-06 03:13:00
84,Heather Williams,christina64@example.net,9162582029,DE8517,email,2025-08-07 01:50:00
85,David Brewer,patrick90@example.net,(775)857-1928,DE6947,sms,2025-06-27 19:27:00
86,Donald Horne,fitzgeraldvictor@example.com,+1-514-347-3947,DE5333,sms,2025-06-30 10:46:00
87,Benjamin Thompson,zosborn@example.net,451-588-4422x58313,DE2312,sms,2025-07-31 09:26:00
88,Allison Spencer,tanner82@example.net,314-467-8669,DE1387,email,2025-07-18 17:01:00
89,Maria Cole,david89@example.org,001-626-380-1824x22535,DE1090,sms,2025-07-12 11:33:00
90,Mark Pierce,colleenmendez@example.org,629.592.2995x90010,DE1949,email,2025-07-02 16:00:00
91,Jennifer Fowler,ismall@example.com,+1-947-536-4710x2767,DE9751,sms,2025-07-18 09:10:00
92,Charles Hensley,jessica56@example.org,001-258-681-5371x47321,DE6279,email,2025-07-17 13:02:00
93,Sharon Barnes,lisapeck@example.net,532-578-7747x01687,DE1027,sms,2025-08-08 14:52:00
94,Amber Campbell,amitchell@example.org,(624)356-5060x98358,DE9856,email,2025-08-09 04:07:00
95,Jerry Pierce,andersoncolin@example.com,985-923-9868x00025,DE1821,email,2025-07-02 04:06:00
96,Steven Taylor,francisco94@example.net,688-287-9470x55169,DE6425,sms,2025-07-24 01:04:00
97,Deborah Rios,jennifersilva@example.org,896.523.0913x07562,DE4673,sms,2025-07-19 06:46:00
98,Reginald Knapp,thorntonapril@example.net,578-565-2785x85497,DE6139,sms,2025-07-14 08:12:00
99,Edwin David,kellie37@example.com,258.644.1986x6524,DE1590,sms,2025-07-05 08:31:00
100,Angela Bradshaw,julie33@example.net,584-221-9933x083,DE7596,sms,2025-07-29 20:26:00
